step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,1.30677,0.61849,1.16193,0.51092
2,1.32951,0.61752,,
3,1.28807,0.64153,,
4,1.27275,0.63379,,
5,1.24483,0.63746,,
6,1.22902,0.63503,,
7,1.21415,0.63339,,
8,1.17813,0.6221,,
9,1.10612,0.63769,,
10,1.05467,0.67106,,
11,1.01041,0.67238,,
12,1.0176,0.67555,,
13,0.94372,0.69916,,
14,0.82518,0.7296,,
15,0.85168,0.71089,,
16,0.79425,0.71774,,
17,0.72407,0.7223,,
18,0.71993,0.73902,,
19,0.66498,0.75395,,
20,0.62764,0.77794,,
21,0.61669,0.76331,,
22,0.57734,0.76535,,
23,0.60343,0.75307,,
24,0.53137,0.78778,,
25,0.49567,0.80323,,
26,0.52296,0.77975,,
27,0.49025,0.79314,,
28,0.48297,0.78215,,
29,0.45061,0.8003,,
30,0.45946,0.78382,,
31,0.44454,0.79401,,
32,0.4222,0.80163,,
33,0.41016,0.79903,,
34,0.41131,0.79717,,
35,0.38888,0.80959,,
36,0.36645,0.82143,,
37,0.3662,0.82805,,
38,0.36763,0.8116,,
39,0.33646,0.82109,,
40,0.35228,0.82283,,
41,0.33759,0.8179,,
42,0.34104,0.82538,,
43,0.32749,0.83451,,
44,0.3007,0.84948,,
45,0.3032,0.84342,,
46,0.29959,0.84347,,
47,0.32705,0.83091,,
48,0.29795,0.84473,,
49,0.29085,0.85255,,
50,0.28838,0.84998,,
51,0.29434,0.83839,,
52,0.31129,0.84087,,
53,0.28984,0.86511,,
54,0.28557,0.85099,,
55,0.30302,0.84269,,
56,0.31874,0.81992,,
57,0.3005,0.84049,,
58,0.30184,0.83064,,
59,0.29656,0.84977,,
60,0.30555,0.84263,,
61,0.28741,0.85661,,
62,0.28015,0.85762,,
63,0.3102,0.8282,,
64,0.28989,0.85767,,
65,0.29458,0.84647,,
66,0.27382,0.8653,,
67,0.30487,0.83458,,
68,0.279,0.84998,,
69,0.27234,0.851,,
70,0.28741,0.84007,,
71,0.28366,0.85535,,
72,0.28299,0.85716,,
73,0.29711,0.83752,,
74,0.28086,0.86015,,
75,0.28794,0.85185,,
76,0.28074,0.84503,,
77,0.2753,0.84157,,
78,0.26627,0.85213,,
79,0.26801,0.86462,,
80,0.30124,0.84191,,
81,0.28984,0.85474,,
82,0.29927,0.83753,,
83,0.30533,0.83987,,
84,0.29664,0.84014,,
85,0.28149,0.84767,,
86,0.28247,0.8547,,
87,0.26673,0.86359,,
88,0.28805,0.84661,,
89,0.29133,0.85007,,
90,0.28314,0.84876,,
91,0.28824,0.84558,,
92,0.26489,0.86442,,
93,0.25549,0.87097,,
94,0.29723,0.84879,,
95,0.30753,0.84157,,
96,0.27197,0.86339,,
97,0.28616,0.84619,,
98,0.26812,0.86197,,
99,0.29492,0.83709,,
100,0.28328,0.85706,,
101,0.28646,0.84626,0.26259,0.65755
102,0.28361,0.85215,,
103,0.27774,0.86279,,
104,0.27607,0.86358,,
105,0.27566,0.84857,,
106,0.29085,0.83801,,
107,0.28325,0.84747,,
108,0.28176,0.85114,,
109,0.26135,0.87013,,
110,0.2712,0.86146,,
111,0.2953,0.84879,,
112,0.27864,0.8597,,
113,0.28236,0.84965,,
114,0.26388,0.85408,,
115,0.25326,0.86231,,
116,0.28636,0.83982,,
117,0.28333,0.85838,,
118,0.28291,0.85803,,
119,0.26835,0.86143,,
120,0.26522,0.86008,,
121,0.26906,0.85922,,
122,0.28084,0.85462,,
123,0.27699,0.85235,,
124,0.27028,0.86103,,
125,0.27071,0.86756,,
126,0.25845,0.87896,,
127,0.28517,0.85995,,
128,0.28522,0.84755,,
129,0.2893,0.85177,,
130,0.27346,0.86453,,
131,0.27611,0.85244,,
132,0.25982,0.86535,,
133,0.24946,0.87326,,
134,0.26001,0.86969,,
135,0.26938,0.8529,,
136,0.27077,0.85854,,
137,0.28619,0.85565,,
138,0.27081,0.86082,,
139,0.2649,0.86272,,
140,0.27675,0.84601,,
141,0.27724,0.85246,,
142,0.27096,0.8695,,
143,0.2628,0.86275,,
144,0.25564,0.87687,,
145,0.25324,0.87531,,
146,0.25887,0.86574,,
147,0.28748,0.84571,,
148,0.24655,0.86642,,
149,0.2749,0.85262,,
150,0.24356,0.88356,,
151,0.27687,0.85232,,
