step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
1,0.02689,0.99487,0.06361,0.74667
2,0.0584,0.97849,,
3,0.0828,0.96175,,
4,0.02683,0.9932,,
5,0.06164,0.97101,,
6,0.02842,0.98942,,
7,0.06311,0.98068,,
8,0.08728,0.96078,,
9,0.01732,0.99479,,
10,0.04751,0.97884,,
11,0.03185,0.98462,,
12,0.09104,0.9589,,
13,0.08662,0.94366,,
14,0.06159,0.97661,,
15,0.026,0.99383,,
16,0.037,0.98925,,
17,0.0431,0.97436,,
18,0.05965,0.97661,,
19,0.02938,0.99087,,
20,0.04806,0.97917,,
21,0.04092,0.97436,,
22,0.06367,0.9887,,
23,0.06557,0.96552,,
24,0.08373,0.96552,,
25,0.06879,0.97268,,
26,0.0575,0.97884,,
27,0.07885,0.95082,,
28,0.11077,0.95,,
29,0.05532,0.96175,,
30,0.02502,0.99425,,
31,0.04762,0.97101,,
32,0.0232,0.98551,,
33,0.09115,0.94977,,
34,0.0436,0.97778,,
35,0.07646,0.97576,,
36,0.01718,0.99415,,
37,0.03015,0.99346,,
38,0.02375,0.99005,,
39,0.02857,0.98907,,
40,0.06205,0.97015,,
41,0.0602,0.97154,,
42,0.06012,0.96667,,
43,0.0335,0.99134,,
44,0.03084,0.99005,,
45,0.07387,0.95312,,
46,0.09852,0.9697,,
47,0.09233,0.95522,,
48,0.05812,0.96429,,
49,0.07441,0.96354,,
50,0.03659,0.97661,,
51,0.01049,1.0,,
52,0.03845,0.98413,,
53,0.11169,0.95402,,
54,0.02621,0.98788,,
55,0.01792,1.0,,
56,0.05976,0.96732,,
57,0.06243,0.96923,,
58,0.08566,0.96104,,
59,0.01016,0.99425,,
60,0.05588,0.97778,,
61,0.11404,0.95238,,
62,0.04573,0.99306,,
63,0.13828,0.96154,,
64,0.07545,0.95906,,
65,0.06957,0.97354,,
66,0.01871,0.9881,,
67,0.17622,0.91813,,
68,0.07422,0.97778,,
69,0.09045,0.97076,,
70,0.04774,0.97101,,
71,0.05679,0.98667,,
72,0.03887,0.97531,,
73,0.07673,0.96599,,
74,0.1535,0.9434,,
75,0.03419,0.97576,,
76,0.03212,0.98438,,
77,0.01248,0.99462,,
78,0.03859,0.97917,,
79,0.06481,0.97396,,
80,0.10609,0.94231,,
81,0.04177,0.97059,,
82,0.07589,0.96914,,
83,0.04835,0.97917,,
84,0.0388,0.97778,,
85,0.08034,0.9619,,
86,0.02178,0.9887,,
87,0.02094,0.98182,,
88,0.03984,0.97619,,
89,0.03257,0.98765,,
90,0.01546,0.99415,,
91,0.04405,0.97619,,
92,0.07895,0.95977,,
93,0.09344,0.9602,,
94,0.06277,0.96667,,
95,0.01302,1.0,,
96,0.09605,0.95833,,
97,0.06741,0.97268,,
98,0.08801,0.96296,,
99,0.12119,0.94792,,
100,0.04437,0.98582,,
101,0.03756,0.98667,0.07084,0.70312
102,0.11015,0.95385,,
103,0.13217,0.93889,,
104,0.0735,0.97268,,
105,0.03941,0.98462,,
106,0.03224,0.98851,,
107,0.10729,0.94144,,
108,0.09282,0.9548,,
109,0.05426,0.98788,,
110,0.04034,0.98701,,
111,0.11281,0.95312,,
112,0.08577,0.95434,,
113,0.04253,0.98305,,
114,0.05837,0.96667,,
115,0.0675,0.96569,,
116,0.03098,0.97576,,
117,0.01909,0.98907,,
118,0.05649,0.97222,,
119,0.11251,0.95897,,
120,0.0768,0.9693,,
121,0.10802,0.96045,,
122,0.06174,0.98039,,
123,0.08497,0.97884,,
124,0.13382,0.94545,,
125,0.05019,0.98077,,
126,0.09422,0.95556,,
127,0.02275,1.0,,
128,0.03671,0.9798,,
129,0.07192,0.97024,,
130,0.08463,0.96354,,
131,0.08729,0.95305,,
132,0.04546,0.9801,,
133,0.09257,0.9697,,
134,0.06099,0.9619,,
135,0.02842,0.99425,,
136,0.04096,0.99462,,
137,0.14057,0.92593,,
138,0.06633,0.97619,,
139,0.09723,0.95588,,
140,0.03745,0.98387,,
141,0.07905,0.97222,,
142,0.07554,0.96135,,
143,0.06285,0.97222,,
144,0.02898,0.98148,,
145,0.05787,0.96296,,
146,0.09682,0.97059,,
147,0.03311,0.98361,,
148,0.02569,0.98551,,
149,0.04335,0.97222,,
150,0.09656,0.96045,,
151,0.07775,0.9641,,
152,0.07278,0.9661,,
153,0.14933,0.9381,,
154,0.16852,0.95333,,
155,0.06719,0.97484,,
156,0.09276,0.96111,,
157,0.03266,0.98974,,
158,0.10883,0.94624,,
159,0.00727,1.0,,
160,0.05183,0.97436,,
161,0.1641,0.92793,,
162,0.08571,0.9661,,
163,0.04669,0.97701,,
164,0.0638,0.9697,,
165,0.06534,0.97959,,
166,0.02491,0.99034,,
167,0.09575,0.97576,,
168,0.05575,0.97101,,
169,0.06888,0.9801,,
170,0.02463,0.98438,,
171,0.08877,0.95946,,
172,0.02047,0.9899,,
173,0.07155,0.95833,,
174,0.09843,0.96078,,
175,0.06875,0.97059,,
176,0.07296,0.94828,,
177,0.11906,0.96364,,
178,0.08049,0.96226,,
179,0.08702,0.96804,,
180,0.02663,0.9883,,
181,0.02885,0.98942,,
182,0.06341,0.98529,,
183,0.02712,0.9845,,
184,0.07402,0.97576,,
185,0.13603,0.93548,,
186,0.03635,0.98305,,
187,0.106,0.94737,,
188,0.02896,0.98684,,
189,0.10946,0.95402,,
190,0.12342,0.95767,,
191,0.04644,0.98214,,
192,0.11355,0.96045,,
193,0.0959,0.94949,,
194,0.04695,0.97222,,
195,0.0839,0.9697,,
196,0.06882,0.94872,,
197,0.09687,0.95322,,
198,0.05292,0.98312,,
199,0.08912,0.96552,,
200,0.03614,0.97661,,
201,0.09487,0.96569,0.03281,0.76786
202,0.09384,0.95833,,
203,0.06568,0.97661,,
204,0.12552,0.94545,,
205,0.02843,0.98039,,
206,0.03838,0.98718,,
207,0.06547,0.9798,,
208,0.04828,0.97015,,
209,0.08426,0.96721,,
210,0.06955,0.96045,,
211,0.06874,0.94558,,
212,0.06641,0.96795,,
213,0.06264,0.98246,,
214,0.08544,0.96491,,
215,0.06235,0.96296,,
216,0.02042,0.99462,,
217,0.08311,0.96599,,
218,0.10977,0.94536,,
219,0.03182,0.9801,,
220,0.13345,0.9418,,
221,0.09285,0.94697,,
222,0.1005,0.96354,,
223,0.06724,0.95906,,
224,0.05258,0.98519,,
225,0.09206,0.94086,,
226,0.0575,0.9697,,
227,0.08711,0.95152,,
228,0.03799,0.97484,,
229,0.04794,0.98246,,
230,0.0852,0.96714,,
231,0.04247,0.96875,,
232,0.07521,0.96714,,
233,0.05284,0.98148,,
234,0.13913,0.94527,,
235,0.05956,0.97727,,
236,0.10112,0.95977,,
237,0.11467,0.95714,,
238,0.09068,0.96732,,
239,0.0768,0.97076,,
240,0.09104,0.95671,,
241,0.08726,0.97059,,
242,0.08445,0.97076,,
243,0.0989,0.95714,,
